Order,ID,Theatre,Name,Original_Revival,Play_Musical,Genre,Sub_Genre,Opening,Closing,Performance Count,Cast Size,Capacity
856,TheCherryOrchard2016,American Airlines ,The Cherry Orchard,Revival,Play,Drama,,"Oct 16, 2016","Dec 04, 2016",57,18,740
857,TheCircle1989,Ambassador ,The Circle,Revival,Play,Romantic Comedy,,"Nov 20, 1989","May 20, 1990",208,11,1125
858,TheCivilWar1999,St. James ,The Civil War,Original,Musical,,,"Apr 22, 1999","Jun 13, 1999",61,30,1709
859,TheCoastofUtopia[Part1-Voyage]2006,Vivian Beaumont ,The Coast of Utopia [Part 1 - Voyage] ,Original,Play,,,"Nov 27, 2006","May 12, 2007",44,36,1080
860,TheCoastofUtopia[Part2-Shipwreck]2006,Vivian Beaumont ,The Coast of Utopia [Part 2 - Shipwreck] ,Original,Play,,,"Dec 21, 2006","May 12, 2007",43,40,1080
861,TheCoastofUtopia[Part3-Salvage]2007,Vivian Beaumont ,The Coast of Utopia [Part 3 - Salvage] ,Original,Play,,,"Feb 18, 2007","May 13, 2007",34,40,1080
862,TheColorPurple2005,Broadway ,The Color Purple,Original,Musical,Drama,,"Dec 01, 2005","Feb 24, 2008",910,34,1761
863,TheColorPurple2015,Bernard B. Jacobs ,The Color Purple,Revival,Musical,Drama,,"Dec 10, 2015","Jan 08, 2017",450,20,1078
864,TheColumnist2012,Samuel J. Friedman ,The Columnist,Original,Play,Drama,,"Apr 25, 2012","Jul 08, 2012",86,11,650
865,TheComedyofErrors1987,Vivian Beaumont ,The Comedy of Errors,Original,Play,Comedy,,"May 31, 1987","Jul 26, 1987",65,21,1080
866,TheConstantWife2005,American Airlines ,The Constant Wife,Revival,Play,Comedy,,"Jun 16, 2005","Aug 21, 2005",77,13,740
867,TheCountryGirl2008,Bernard B. Jacobs ,The Country Girl,Revival,Play,,,"Apr 27, 2008","Jul 20, 2008",97,11,1078
868,TheCountryHouse2014,Samuel J. Friedman ,The Country House,Original,Play,Comedy,,"Oct 02, 2014","Nov 23, 2014",61,11,650
