Order,ID,Theatre,Name,Original_Revival,Play_Musical,Genre,Sub_Genre,Opening,Closing,Performance Count,Cast Size,Capacity
1106,WaitingforGodot2009,Studio 54,Waiting for Godot,Revival,Play,,,"Apr 30, 2009","Jul 12, 2009",84,8,1006
1107,WaitingforGodot2013,Cort ,Waiting for Godot,Revival,Play,Drama,,"Nov 24, 2013","Mar 30, 2014",77,8,1084
1108,WaitingintheWings1999,Walter Kerr ,Waiting in the Wings,Original,Play,,,"Dec 16, 1999","May 28, 2000",186,21,945
1109,WarHorse2011,Vivian Beaumont ,War Horse,Original,Play,Drama,Puppets,"Apr 14, 2011","Jan 06, 2013",718,35,1080
1110,WarPaint2017,Nederlander ,War Paint,Original,Musical,,,"Apr 06, 2017","Nov 05, 2017",236,20,1235
1111,WelcometotheClub1989,Music Box ,Welcome to the Club,Original,Musical,,,"Apr 13, 1989","Apr 22, 1989",12,13,1009
1112,Well2006,Longacre ,Well,Original,Play,Comedy,,"Mar 30, 2006","May 14, 2006",52,11,1091
1113,WestSideStory2009,Palace ,West Side Story,Revival,Musical,Drama,,"Mar 19, 2009","Jan 02, 2011",748,46,1743
1114,What'sWrongWithThisPicture?1994,Brooks Atkinson ,What's Wrong With This Picture?,Original,Play,Comedy,,"Dec 08, 1994","Dec 18, 1994",12,11,1094
1115,WhiteLiars&BlackComedy1993,Criterion Center Stage Right,White Liars & Black Comedy,Revival,Play,Comedy,,"Sep 01, 1993","Oct 03, 1993",38,13,499
1116,Who'sAfraidofVirginiaWoolf?2005,Longacre ,Who's Afraid of Virginia Woolf?,Revival,Play,Drama,,"Mar 20, 2005","Sep 04, 2005",177,8,1091
1117,Who'sAfraidofVirginiaWoolf?2012,Booth ,Who's Afraid of Virginia Woolf?,Revival,Play,Drama,,"Oct 13, 2012","Mar 03, 2013",142,8,766
1118,WhoopiGoldberg1984,Lyceum ,Whoopi Goldberg,Original,Play,Solo,,"Oct 24, 1984","Mar 10, 1985",156,1,922
1119,WildHoney1986,August Wilson ,Wild Honey,Original,Play,Comedy,,"Dec 18, 1986","Jan 11, 1987",28,18,1228
1120,WishfulDrinking2009,Studio 54,Wishful Drinking,Original,Play,Solo,,"Oct 04, 2009","Jan 17, 2010",118,1,1006
1121,Wit2012,Samuel J. Friedman ,Wit,Original,Play,Drama,,"Jan 26, 2012","Mar 17, 2012",60,12,650
1122,WolfHallPartOne2015,Winter Garden ,Wolf Hall Part One,Original,Play,,,"Apr 09, 2015","Jul 05, 2015",53,23,1526
1123,WolfHallPartTwo2015,Winter Garden ,Wolf Hall Part Two,Original,Play,,,"Apr 09, 2015","Jul 05, 2015",50,23,1526
1124,WomenontheVergeofaNervousBreakdown2010,Belasco ,Women on the Verge of a Nervous Breakdown,Original,Musical,,,"Nov 04, 2010","Jan 02, 2011",69,25,1018
1125,WonderfulTennessee1993,Gerald Schoenfeld ,Wonderful Tennessee,Original,Play,,,"Oct 24, 1993","Oct 31, 1993",9,10,1079
1126,WonderfulTown2003,Al Hirschfeld ,Wonderful Town,Revival,Musical,Comedy,,"Nov 23, 2003","Jan 30, 2005",497,31,1424
1127,Wonderland2011,Marquis ,Wonderland,Original,Musical,Fantasy,,"Apr 17, 2011","May 15, 2011",33,27,1612
1128,WrongMountain2000,Eugene O'Neill ,Wrong Mountain,Original,Play,Comedy,,"Jan 13, 2000","Feb 05, 2000",28,16,1066
1129,Xanadu2007,Helen Hayes ,Xanadu,Original,Musical,Fantasy,,"Jul 10, 2007","Sep 28, 2008",512,14,597
1130,YouCan'tTakeItWithYou1983,Bernard B. Jacobs ,You Can't Take It With You,Revival,Play,Comedy,Farce,"Apr 04, 1983","Jan 01, 1984",312,23,1078
1131,YouCan'tTakeItWithYou2014,Longacre ,You Can't Take It With You,Revival,Play,Comedy,Farce,"Sep 28, 2014","Feb 22, 2015",169,23,1091
1132,YouNeverCanTell1986,Circle in the Square ,You Never Can Tell,Revival,Play,Comedy,,"Oct 09, 1986","Jan 25, 1987",125,14,840
1133,"You'reaGoodMan,CharlieBrown1999",Ambassador ,"You're a Good Man, Charlie Brown",Revival,Musical,Comedy,,"Feb 04, 1999","Jun 13, 1999",149,9,1125
1134,YoungFrankenstein2007,Lyric ,Young Frankenstein,Original,Musical,Comedy,,"Nov 08, 2007","Jan 04, 2009",485,27,1938
1135,Zorba1983,Broadway ,Zorba,Revival,Musical,,,"Oct 16, 1983","Sep 02, 1984",362,28,1761
1136,Zoya'sApartment1990,Circle in the Square ,Zoya's Apartment,Original,Play,Farce,,"May 10, 1990","Jun 17, 1990",45,20,840
1161,ThePlayThatGoesWrong2017,Lyceum ,The Play That Goes Wrong ,Original,Play,,,"Apr 02, 2017",Present,257,12,922
1169,Aladdin2014,New Amsterdam ,Aladdin ,Original,Musical,,,"Mar 20, 2014",Present,1530,35,1747
1173,DearEvanHansen2016,Music Box ,Dear Evan Hansen ,Original,Musical,,,"Dec 04, 2016",Present,393,28,1009
1174,ThePhantomoftheOpera1988,Majestic ,The Phantom of the Opera ,Original,Musical,,,"Jan 26, 1988",Present,12398,36,1645
1176,CharlieandtheChocolateFactory2017,Lunt-Fontanne ,Charlie and the Chocolate Factory ,Original,Musical,,,"Apr 23, 2017","Jan 14, 2018",233,36,1519
1180,ComeFromAway2017,Gerald Schoenfeld ,Come From Away ,Original,Musical,,,"Mar 12, 2017",Present,281,16,1079
1182,Chicago2003,Ambassador ,Chicago ,Revival,Musical,,,"Jan 29, 2003",Present,8723,23,1125
1184,Anastasia2017,Broadhurst ,Anastasia ,Original,Musical,,,"Apr 24, 2017",Present,232,26,1186
1187,TheBookofMormon2011,Eugene O'Neill ,The Book of Mormon ,Original,Musical,,,"Mar 24, 2011",Present,2779,27,1066
1190,ABronxTaleTheMusical2016,Longacre ,A Bronx Tale The Musical ,Original,Musical,,,"Dec 01, 2016",Present,396,30,1091
1192,TheLionKing2006,Minskoff ,The Lion King ,Original,Musical,,,"Jun 13, 2006",Present,8325,50,1710
1196,BeautifulTheCaroleKingMusical2014,Stephen Sondheim ,Beautiful The Carole King Musical ,Original,Musical,,,"Jan 12, 2014",Present,1600,22,1055
1197,KinkyBoots2013,Al Hirschfeld ,Kinky Boots ,Original,Musical,,,"Apr 04, 2013",Present,1922,32,1424
1199,Waitress2016,Brooks Atkinson ,Waitress ,Original,Musical,,,"Apr 24, 2016",Present,649,20,1094
1202,Wicked2003,Gershwin ,Wicked ,Original,Musical,,,"Oct 30, 2003",Present,5859,33,1933
1207,"Hello,Dolly!2017",Shubert ,"Hello, Dolly! ",Revival,Musical,,,"Apr 20, 2017",Present,229,37,1460
1209,SchoolofRock–TheMusical2015,Winter Garden ,School of Rock – The Musical ,Original,Musical,,,"Dec 06, 2015",Present,809,35,1526
,Hamilton2015,Richard Rodgers ,Hamilton,Original,Musical,,,"Aug 6, 2015",Present,949,28,1400
